Epoch,price
2019-10-03,135.66318545702404
2019-10-04,135.7503909688402
2019-10-07,136.02330937071522
2019-10-08,136.1338825189294
2019-10-09,136.25930067385508
2019-10-10,136.3932426274416
2019-10-11,136.5232205363997
2019-10-14,136.8988443892202
2019-10-15,137.03204515363515
2019-10-16,137.16158098029692
2019-10-17,137.29087333497426
2019-10-18,137.4177686578295
2019-10-21,137.7960849757138
2019-10-22,137.9369611349478
2019-10-23,138.05045896149576
2019-10-24,138.10135623694856
2019-10-25,138.18690653003773
2019-10-28,138.89562030195088
2019-10-29,139.12195307834213
2019-10-30,139.28876555556678
2019-10-31,139.42001684492578
2019-11-01,139.56380907410312
2019-11-04,140.10112290554267
2019-11-05,140.38300461633992
2019-11-06,140.61809101612317
2019-11-07,140.86205381742357
2019-11-08,141.0658812987094
2019-11-11,141.49034586563778
2019-11-12,141.63924735388838
2019-11-13,141.81287519919078
2019-11-14,141.98699447989028
2019-11-15,142.1601489362771
2019-11-18,142.66142850567408
2019-11-19,142.82692486702538
2019-11-20,142.9947199591602
2019-11-21,143.2192939067635
2019-11-22,143.36302093106858
2019-11-25,143.70970958737954
2019-11-26,143.83424663633696
2019-11-27,143.9611938817143
2019-11-29,144.21667386630847
2019-12-02,144.60503260490532
2019-12-03,144.73458919250695
2019-12-04,144.86339309409072
2019-12-05,144.9887840250362
2019-12-06,145.1186844202236
2019-12-09,145.49255061891725
2019-12-10,145.62503748574144
2019-12-11,145.756090668763
2019-12-12,145.88672716357368
2019-12-13,146.01942699071813
2019-12-16,146.3824908433153
2019-12-17,146.50983117468124
2019-12-18,146.61197049810932
2019-12-19,146.7278255781199
2019-12-20,146.85585819462204
2019-12-23,147.24823360215706
2019-12-24,147.38890000825495
2019-12-26,147.66251814894636
2019-12-27,147.8296883958734
2019-12-30,148.27203912018564
2019-12-31,148.4535949469567
2020-01-02,148.76839378244864
2020-01-03,148.91081175962876
2020-01-06,149.36062689904978
2020-01-07,149.50146915421325
2020-01-08,149.64079721711067
2020-01-09,149.7930844940449
2020-01-10,149.95072349351108
2020-01-13,150.51031624769774
2020-01-14,150.75694816108722
2020-01-15,151.14557715941473
2020-01-16,151.4479585680969
2020-01-17,151.73437607054422
2020-01-21,152.64854229907775
2020-01-22,152.89071159354063
2020-01-23,153.07512329228493
2020-01-24,153.27981855157554
2020-01-27,153.87070071769992
2020-01-28,154.1652499581791
2020-01-29,154.52684728176104
2020-01-30,154.90038266474068
2020-01-31,155.2425378633745
2020-02-03,156.13806706251003
2020-02-04,156.40015891579637
2020-02-05,156.68139938260654
2020-02-06,157.16412898929778
2020-02-07,157.52582634001377
2020-02-10,158.55328113569956
2020-02-11,158.8878979794413
2020-02-12,159.3620946609811
2020-02-13,159.8896190618746
2020-02-14,160.4122887022116
2020-02-18,161.5533297639077
2020-02-19,161.94332393367122
2020-02-20,162.23998672248055
2020-02-21,162.43123345462251
2020-02-24,163.25428005066965
2020-02-25,163.58461130996892
2020-02-26,164.00040519458295
2020-02-27,164.22470842830197
2020-02-28,164.40657631596932
2020-03-02,165.06618899557625
2020-03-03,165.21622413416625
2020-03-04,165.36518375271007
2020-03-05,165.5137812806896
2020-03-06,165.66207068797638
2020-03-09,166.08022672216472
2020-03-10,166.22531239870924
2020-03-11,166.37257648354122
2020-03-12,166.3435940635957
2020-03-13,164.88149392617098
2020-03-16,163.3887968256322
2020-03-17,163.06227824635891
2020-03-18,162.95489300569133
2020-03-19,162.94619237740454
2020-03-20,162.96313108547912
2020-03-23,163.11402951041617
2020-03-24,163.20054685993358
2020-03-25,163.2481480301128
2020-03-26,163.28330288969053
2020-03-27,163.3808561882503
2020-03-30,163.62514870406412
2020-03-31,163.76394170663826
2020-04-01,163.8804584087127
2020-04-02,164.00826613268381
2020-04-03,164.14989991140544
2020-04-06,164.57307026074162
2020-04-07,164.72084606314638
2020-04-08,164.86408494415298
2020-04-09,164.99886961329008
2020-04-13,165.2483345332405
2020-04-14,165.31152246156694
2020-04-15,165.3923154408733
2020-04-16,165.4467896106115
2020-04-17,165.58519721324595
2020-04-20,165.98595468768391
2020-04-21,166.0526323801763
2020-04-22,166.14630400847741
2020-04-23,166.27587822786325
2020-04-24,166.4279569184245
2020-04-27,166.85460659795373
2020-04-28,166.99252302318158
2020-04-29,167.13567618297648
2020-04-30,167.30197782634104
2020-05-01,167.46090543906604
2020-05-04,167.90833245833457
2020-05-05,168.05473533475464
2020-05-06,168.20390025223156
2020-05-07,168.3474185296193
2020-05-08,168.50509832502152
2020-05-11,168.8963684705607
2020-05-12,169.0067929039876
2020-05-13,169.1093449177129
2020-05-14,169.26192964086437
2020-05-15,169.43322267706344
2020-05-18,169.98971417546505
2020-05-19,170.1570374126877
2020-05-20,170.330201819826
2020-05-21,170.48348754396062
2020-05-22,170.63042937428895
2020-05-26,171.16452432530085
2020-05-27,171.3108551728275
2020-05-28,171.46565268110893
2020-05-29,171.63019916333766
2020-06-01,172.12908431211576
2020-06-02,172.48910451143564
2020-06-03,172.66446113057447
2020-06-04,172.82134557584305
2020-06-05,172.98119715729143
2020-06-08,173.46071438172882
2020-06-09,173.6193630117306
2020-06-10,173.78394878495965
2020-06-11,173.95912391159385
2020-06-12,174.11729981985343
2020-06-15,174.59647511296305
2020-06-16,174.75418347712102
2020-06-17,174.91512345768766
2020-06-18,175.08105422685782
2020-06-19,175.24515578953833
2020-06-22,175.7813172053669
2020-06-23,175.98518515407312
2020-06-24,176.1814797888205
2020-06-25,176.34884302698092
2020-06-26,176.49778043247437
2020-06-29,176.94582607468226
2020-06-30,177.10482994098265
2020-07-01,177.2621456850825
2020-07-02,177.4209607082332
2020-07-06,178.0466692902706
2020-07-07,178.21064112260734
2020-07-08,178.3770830081065
2020-07-09,178.5511760772648
2020-07-10,178.721806305999
2020-07-13,179.2735027943995
2020-07-14,179.4581566890563
2020-07-15,179.6480907118266
2020-07-16,179.82653874742255
2020-07-17,179.99286873861845
2020-07-20,180.51648455385632
2020-07-21,180.7046447811107
2020-07-22,180.882153271459
2020-07-23,181.1117984481209
2020-07-24,181.3449186465384
2020-07-27,182.4515123607708
2020-07-28,182.99158969602877
2020-07-29,183.38172674952045
2020-07-30,183.65528421364706
2020-07-31,184.04116961997647
2020-08-03,185.02377466992516
2020-08-04,185.23613794850445
2020-08-05,185.4352165669855
2020-08-06,185.6495959724449
2020-08-07,185.826266075857
2020-08-10,186.48960555881337
2020-08-11,186.74009912858097
2020-08-12,186.92428213092026
2020-08-13,187.1148866792508
2020-08-14,187.40245264771883
2020-08-17,188.4535311415298
2020-08-18,188.86708207184384
2020-08-19,189.13152983095213
2020-08-20,189.33346668743124
2020-08-21,189.53227787513825
2020-08-24,190.20484544516964
2020-08-25,190.43686002568043
2020-08-26,190.62996266290472
2020-08-27,190.83884413540062
2020-08-28,191.03884596150456
2020-08-31,191.7368892462963
2020-09-01,192.06188360712054
2020-09-02,192.45508637000967
2020-09-03,192.6538798406593
2020-09-04,192.77264038148317
2020-09-08,193.463900722613
2020-09-09,193.63852225683112
2020-09-10,193.8132366851919
2020-09-11,193.98778555676398
2020-09-14,194.5153576536672
2020-09-15,194.6923558005568
2020-09-16,194.87458084644047
2020-09-17,195.09116718367528
2020-09-18,195.30675809725898
2020-09-21,195.915650565157
2020-09-22,196.0979066376414
2020-09-23,196.2732051238918
2020-09-24,196.4495115141288
2020-09-25,196.6310868073671
2020-09-28,197.2287360717103
2020-09-29,197.42575935213458
2020-09-30,197.61034456147485
2020-10-01,197.79398174616384
2020-10-02,197.97594115751954
2020-10-05,198.5050323105702
2020-10-06,198.6840052934989
2020-10-07,198.86274195296804
2020-10-08,199.04495679100282
2020-10-09,199.2724250373909
2020-10-12,200.08585921693384
2020-10-13,200.35394904674533
2020-10-14,200.53672715028674
2020-10-15,200.71913711896667
2020-10-16,200.9034540233877
2020-10-19,201.44500037344585
2020-10-20,201.627430267761
2020-10-21,201.82307472258918
2020-10-22,202.04361195278187
2020-10-23,202.2665528089091
2020-10-26,202.99580219735148
2020-10-27,203.2086817875642
2020-10-28,203.40138179314206
2020-10-29,203.57615361594364
2020-10-30,203.76255080235742
2020-11-02,204.39548921682126
2020-11-03,204.5794321765452
2020-11-04,204.7905667970673
2020-11-05,205.06641237060123
2020-11-06,205.4284399038201
2020-11-09,206.71443957472982
2020-11-10,206.9611312789774
2020-11-11,207.27153768794747
2020-11-12,207.60692757288518
2020-11-13,207.90491343267817
2020-11-16,208.58790874944341
2020-11-17,208.96246619951722
2020-11-18,209.26546414181414
2020-11-19,209.5282636317849
2020-11-20,209.87992287997193
2020-11-23,211.14697287359357
2020-11-24,211.67957886134255
2020-11-25,212.2888660085822
2020-11-27,213.04307367869256
2020-11-30,213.95665146871582
2020-12-01,214.61347649920222
2020-12-02,214.92270377492844
2020-12-03,215.26002762078727
2020-12-04,215.5476519555778
2020-12-07,216.34972072740558
2020-12-08,216.57790014786661
2020-12-09,216.78009995052173
2020-12-10,216.98025076457833
2020-12-11,217.19194608713664
2020-12-14,218.1156326786811
2020-12-15,218.46501225297405
2020-12-16,218.78327185107094
2020-12-17,219.4498100869452
2020-12-18,220.0741189424066
2020-12-21,221.75852007355613
2020-12-22,222.0480119173365
2020-12-23,222.4382429463629
2020-12-24,222.73395756541342
2020-12-28,224.88314682889333
2020-12-29,225.21542571594276
2020-12-30,225.69662704529537
2020-12-31,226.06442322748057
2021-01-04,227.97273094227327
2021-01-05,228.4744887796677
2021-01-06,229.05867829430284
2021-01-07,229.55025617129928
2021-01-08,230.1425582536099
2021-01-11,232.6730221875342
2021-01-12,233.58192430315836
2021-01-13,234.126066536753
2021-01-14,234.68828404117122
2021-01-15,235.35580431050707
2021-01-19,237.3718775422987
2021-01-20,237.67967305422047
2021-01-21,237.9899942095099
2021-01-22,238.29234589965193
2021-01-25,239.1237020747095
2021-01-26,239.4626557931627
2021-01-27,239.66234010733564
2021-01-28,239.84876993036727
2021-01-29,240.19826563415756
2021-02-01,241.12870957357978
2021-02-02,241.56035873392844
2021-02-03,242.0877431900685
2021-02-04,242.5681054464905
2021-02-05,243.01180035703337
2021-02-08,244.72910275564996
2021-02-09,245.4916463913598
2021-02-10,245.95155980895345
2021-02-11,246.36784667337128
2021-02-12,247.0124161300626
2021-02-16,249.4117377747874
2021-02-17,250.27188000119742
2021-02-18,251.3809175762073
2021-02-19,252.05926980175596
2021-02-22,253.63150497967388
2021-02-23,254.15601713877135
2021-02-24,254.5603587187486
2021-02-25,254.79139981453324
2021-02-26,255.1063836251668
2021-03-01,256.41681863944456
2021-03-02,256.7634626003941
2021-03-03,257.0850740861601
2021-03-04,257.3881936819589
2021-03-05,257.6524482790388
2021-03-08,258.7032419521167
2021-03-09,259.18913979243564
2021-03-10,259.57532953038145
2021-03-11,260.02302568027886
2021-03-12,260.6597931930442
2021-03-15,263.1036463899135
2021-03-16,263.4218665996524
2021-03-17,263.73299164994495
2021-03-18,264.1321515206815
2021-03-19,264.4718502775296
2021-03-22,265.6238860022398
2021-03-23,265.9243923403889
2021-03-24,266.4069137908077
2021-03-25,266.8356571447677
2021-03-26,267.14610754101534
2021-03-29,268.16747133031157
2021-03-30,269.0508373758703
2021-03-31,269.9164490860183
2021-04-01,270.795332669974
2021-04-05,273.4394473471126
2021-04-06,274.3322626008449
2021-04-07,274.8840736035909
2021-04-08,275.25751901764716
2021-04-09,275.6543697526769
2021-04-12,278.98720668915246
2021-04-13,279.96963766842595
2021-04-14,280.64229934618317
2021-04-15,280.9996950581402
2021-04-16,281.3558599699809
2021-04-19,282.16107452056036
2021-04-20,282.4441781384194
2021-04-21,282.7450859285379
2021-04-22,283.11386164398493
2021-04-23,283.416970785899
2021-04-26,284.1462814803558
2021-04-27,284.3898632539564
2021-04-28,284.65841646829205
2021-04-29,284.9443070518612
2021-04-30,285.2690825503277
2021-05-03,286.4802426834086
2021-05-04,286.8676974092917
2021-05-05,287.1897748569292
2021-05-06,287.5724859835207
2021-05-07,287.911471520785
2021-05-10,289.5656156697995
2021-05-11,290.1041936163803
2021-05-12,290.4640743464867
2021-05-13,290.82710334028695
2021-05-14,291.20205296596305
2021-05-17,292.0361146797066
2021-05-18,292.1330858880924
